population,acclimation_conditions,experiment_conditions,estimate
1.1,light_acclimated,grown_in_cycle,0.20002058467140507
1.1,light_acclimated,grown_in_dark,0.3048143707753756
1.1,light_acclimated,grown_in_light,0.14833940449686772
1.2,light_acclimated,grown_in_cycle,0.1261607081992407
1.2,light_acclimated,grown_in_dark,0.17048677497978693
1.2,light_acclimated,grown_in_light,0.23101203105863014
1.3,light_acclimated,grown_in_cycle,0.15184760162824784
1.3,light_acclimated,grown_in_dark,0.21832185305677215
1.3,light_acclimated,grown_in_light,0.21670369800664446
1.4,light_acclimated,grown_in_cycle,0.10838767176706447
1.4,light_acclimated,grown_in_dark,0.18740503582281504
1.4,light_acclimated,grown_in_light,0.14680259780880983
1.5,light_acclimated,grown_in_cycle,0.17020434001973522
1.5,light_acclimated,grown_in_dark,0.271032284643335
1.5,light_acclimated,grown_in_light,0.26061480977745866
1.6,light_acclimated,grown_in_cycle,0.07577195794761271
1.6,light_acclimated,grown_in_dark,0.10123204965720617
1.6,light_acclimated,grown_in_light,0.09407471296953189
1.7,light_acclimated,grown_in_cycle,0.17774325509391803
1.7,light_acclimated,grown_in_dark,0.2790600192427363
1.7,light_acclimated,grown_in_light,0.2755224499413665
1.8,light_acclimated,grown_in_cycle,0.11011107326555908
1.8,light_acclimated,grown_in_dark,0.17053265422464636
1.8,light_acclimated,grown_in_light,0.24047484338134684
2.1,dark_acclimated,grown_in_cycle,0.17309688437026577
2.1,dark_acclimated,grown_in_dark,0.2338183757696999
2.1,dark_acclimated,grown_in_light,0.26046186139893
2.2,dark_acclimated,grown_in_cycle,0.1498108627078492
2.2,dark_acclimated,grown_in_dark,0.20459810611514104
2.2,dark_acclimated,grown_in_light,0.16999428675490463
2.3,dark_acclimated,grown_in_cycle,0.12127238976477736
2.3,dark_acclimated,grown_in_dark,0.14080162753994457
2.3,dark_acclimated,grown_in_light,0.13908129276240572
2.4,dark_acclimated,grown_in_cycle,0.2860804062204643
2.4,dark_acclimated,grown_in_dark,0.33980762137353476
2.4,dark_acclimated,grown_in_light,0.34211497515477934
2.5,dark_acclimated,grown_in_cycle,0.1749930985248916
2.5,dark_acclimated,grown_in_dark,0.24437150186420023
2.5,dark_acclimated,grown_in_light,0.2459466305897119
2.6,dark_acclimated,grown_in_cycle,0.15316167804742084
2.6,dark_acclimated,grown_in_dark,0.19327331084000104
2.6,dark_acclimated,grown_in_light,0.20329431247312113
2.7,dark_acclimated,grown_in_cycle,0.1528263842538114
2.7,dark_acclimated,grown_in_dark,0.2230551479208341
2.7,dark_acclimated,grown_in_light,0.21685958548623577
2.8,dark_acclimated,grown_in_cycle,0.07228791689480571
2.8,dark_acclimated,grown_in_dark,0.325816021726518
2.8,dark_acclimated,grown_in_light,0.2870297165093688
3.1,cycle_acclimated,grown_in_cycle,0.10198217240284321
3.1,cycle_acclimated,grown_in_dark,0.11667761467434883
3.1,cycle_acclimated,grown_in_light,0.1538248234247266
3.2,cycle_acclimated,grown_in_cycle,0.09920034451960982
3.2,cycle_acclimated,grown_in_dark,0.12080590920802525
3.2,cycle_acclimated,grown_in_light,0.26299372358981404
3.3,cycle_acclimated,grown_in_cycle,0.13828831420255516
3.3,cycle_acclimated,grown_in_dark,0.18212921783842348
3.3,cycle_acclimated,grown_in_light,0.16060704130140202
3.4,cycle_acclimated,grown_in_cycle,0.13281238188077293
3.4,cycle_acclimated,grown_in_dark,0.2963791983716218
3.4,cycle_acclimated,grown_in_light,0.30875823457711893
3.5,cycle_acclimated,grown_in_cycle,0.14483317358686504
3.5,cycle_acclimated,grown_in_dark,0.14735521535067947
3.5,cycle_acclimated,grown_in_light,0.18325171321141917
3.6,cycle_acclimated,grown_in_cycle,0.09969470150468045
3.6,cycle_acclimated,grown_in_dark,0.1474585532036687
3.6,cycle_acclimated,grown_in_light,0.07427857399652316
3.7,cycle_acclimated,grown_in_cycle,0.10230030674636456
3.7,cycle_acclimated,grown_in_dark,0.16276369441570088
3.7,cycle_acclimated,grown_in_light,0.26220303108978504
3.8,cycle_acclimated,grown_in_cycle,0.16758902637014295
3.8,cycle_acclimated,grown_in_dark,0.21925179411717105
3.8,cycle_acclimated,grown_in_light,0.21638188959368237
